source_id,ra,dec,phot_g_mean_mag,astrometric_params_solved,astrometric_gof_al,phot_bp_rp_excess_factor,mean_mag_g_fov,median_mag_g_fov,std_dev_mag_g_fov,in_vari_long_period_variable,in_vari_eclipsing_binary,in_vari_classification_result,in_vari_rrlyrae,in_vari_cepheid,in_vari_planetary_transit,in_vari_short_timescale,in_vari_long_period_variable2,in_vari_eclipsing_binary2,in_vari_rotation_modulation,in_vari_ms_oscillator,in_vari_agn,in_vari_microlensing,in_vari_compact_companion
4830758453222338176,62.66933600384132,-48.91436746518499,20.390268,95,-0.08859544,1.5257148,,,,,,,,,,,,,,,,,
4830758693740523776,62.620373888284625,-48.89381565991199,19.872478,95,1.0196109,1.4274476,,,,,,,,,,,,,,,,,
4830760587822070400,62.73363374358355,-48.81892374367681,16.76676,31,0.7079513,1.2347873,,,,,,,,,,,,,,,,,
4830762542031146368,62.46036532245226,-48.991984895093815,17.973076,31,-0.8308545,1.2049161,,,,,,,,,,,,,,,,,
4830762821205081344,62.39595887512608,-49.020764583813076,18.000824,31,-1.828024,1.174751,,,,,,,,,,,,,,,,,
4830763985140169344,62.482075736421336,-48.978558727249535,18.873724,95,0.6801442,1.3008661,,,,,,,,,,,,,,,,,
4830764431816809216,62.56854696751946,-48.92415508634004,17.54372,31,0.7997257,1.2919939,,,,,,,,,,,,,,,,,
4830765737486918144,62.434341415456544,-48.865193734331314,20.114168,95,-1.8532075,1.4787171,,,,,,,,,,,,,,,,,
4830765806206419328,62.46492204572988,-48.84129180190369,19.513367,95,0.4675978,1.2943528,,,,,,,,,,,,,,,,,
4830767906446360960,62.225760299756594,-48.879675873762245,16.808748,31,1.1752911,1.3006307,,,,,,,,,,,,,,,,,
4830768559280138752,62.364210337119594,-48.83933579266032,20.405975,95,0.33542156,1.6522665,,,,,,,,,,,,,,,,,
4830768765439815680,62.393823206138315,-48.83472332492987,20.27363,31,-0.5007194,1.1794724,,,,,,,,,,,,,,,,,
4830769654497166336,62.30123970800675,-48.79507876409323,19.275593,95,-0.52980465,1.3741094,,,,,,,,,,,,,,,,,
4830771406843381888,62.50989493003329,-48.85634699573067,11.845683,31,-1.3711522,1.185459,,,,,,,,,,,,,,,,,
4830772785529195392,62.61753726788402,-48.79970530855887,14.3905,31,0.81270313,1.3751295,14.390603,14.39035,0.005431184,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4830774194278465152,62.62316215500656,-48.708083043137414,16.019611,31,1.2658552,1.2023282,,,,,,,,,,,,,,,,,
