source_id,ra,dec,phot_g_mean_mag,astrometric_params_solved,astrometric_gof_al,phot_bp_rp_excess_factor,mean_mag_g_fov,median_mag_g_fov,std_dev_mag_g_fov,in_vari_long_period_variable,in_vari_eclipsing_binary,in_vari_classification_result,in_vari_rrlyrae,in_vari_cepheid,in_vari_planetary_transit,in_vari_short_timescale,in_vari_long_period_variable2,in_vari_eclipsing_binary2,in_vari_rotation_modulation,in_vari_ms_oscillator,in_vari_agn,in_vari_microlensing,in_vari_compact_companion
2488590161102409088,36.19766528881696,-5.740843207476624,15.65949,31,1.2766529,1.4788593,,,,,,,,,,,,,,,,,
2488591088815320448,35.51477075032978,-6.226198660243324,12.949492,31,5.979079,1.2368525,,,,,,,,,,,,,,,,,
2488591290678198400,35.55170021949856,-6.212873549099663,20.437706,95,1.4325265,1.2178751,,,,,,,,,,,,,,,,,
2488592424549587584,35.53485581470652,-6.174209916628203,20.61891,95,-0.2772146,0.9762501,,,,,,,,,,,,,,,,,
2488594005097448832,35.53825925713005,-6.145668397542296,13.2933855,31,6.556994,1.2149597,,,,,,,,,,,,,,,,,
2488595791803970816,35.47606234861882,-6.131042927066733,18.362263,31,-1.1216136,1.2135396,,,,,,,,,,,,,,,,,
2488598506223401728,35.49598324533939,-6.057402520047612,18.310982,31,1.259244,1.307022,,,,,,,,,,,,,,,,,
2488598712381838720,35.437612396539215,-6.04397182827161,20.082216,31,0.38319457,1.1225872,,,,,,,,,,,,,,,,,
2488601843413441920,35.78193343547987,-6.009064615690133,17.742592,31,-0.9206274,1.3883854,,,,,,,,,,,,,,,,,
2488605206372421632,35.53216209428106,-5.985694876217752,20.065197,95,2.326567,1.2639512,,,,,,,,,,,,,,,,,
2488607130517701248,35.64641102053496,-5.9343338794843135,13.03122,31,-0.01028316,1.2000053,,,,,,,,,,,,,,,,,
2488608436188758400,35.3423199212967,-6.091958685576389,20.637012,95,0.27291435,1.4304906,,,,,,,,,,,,,,,,,
2488613560084194176,35.26768690360611,-5.971836532950477,16.004246,31,0.47579804,1.2532517,,,,,,,,,,,,,,,,,
2488614449142064768,35.267555601826544,-5.941859738419654,17.628504,31,-0.32999423,1.1884952,,,,,,,,,,,,,,,,,
2488614861458915584,35.34105085241341,-5.959175639055325,19.49528,95,0.41951278,1.3627793,,,,,,,,,,,,,,,,,
2488615067617363200,35.346132773378436,-5.931750224391584,18.830772,31,-0.96068317,1.3065907,,,,,,,,,,,,,,,,,
2488615342495465472,35.327945297712404,-5.91818225941365,20.05865,95,2.3335893,1.5062058,,,,,,,,,,,,,,,,,
2488616304568143232,35.262818813584225,-5.893647960380245,19.16907,31,1.5825461,1.4446974,,,,,,,,,,,,,,,,,
2488617197921134592,35.538551868490714,-5.941718725134797,20.365307,95,0.08606447,1.3674884,,,,,,,,,,,,,,,,,
2488617953835402496,35.52998205131891,-5.900697003848951,18.166662,95,0.11852725,1.4159658,,,,,,,,,,,,,,,,,
2488620771333993088,35.56252890162046,-5.807386157740198,18.647675,31,1.2726008,1.2077938,,,,,,,,,,,,,,,,,
2488621046211906176,35.625254641973775,-5.789052937130397,19.622225,95,0.22840326,1.5121866,,,,,,,,,,,,,,,,,
2488621802126119936,35.398092779820466,-5.857201956808731,19.449417,95,0.0778957,1.2962312,,,,,,,,,,,,,,,,,
2488624177243358080,35.55067875000888,-5.7802082658902485,16.185186,31,0.031766657,1.2176464,,,,,,,,,,,,,,,,,
2488625379834199936,35.50894291757405,-5.724698022551755,12.708209,31,3.7548144,1.2264588,,,,,,,,,,,,,,,,,
2488627815080327040,35.825862651805544,-5.873968182111159,19.418869,31,2.2418125,1.1876475,,,,,,,,,,,,,,,,,
2488627853735383296,35.84027953829102,-5.859990551281632,13.795107,31,4.527977,1.2344581,,,,,,,,,,,,,,,,,
2488630087118374784,35.945125284247716,-5.77954349270068,14.663532,31,0.9869354,1.1989728,,,,,,,,,,,,,,,,,
2488631839464401152,35.726285301207554,-5.806128705012849,19.680098,95,1.6525015,1.6501809,,,,,,,,,,,,,,,,,
2488632835897444608,35.86584248408902,-5.781816654613366,18.293129,31,2.0508916,1.4645373,,,,,,,,,,,,,,,,,
2488634102912507008,35.86920749474901,-5.743474605701594,20.458227,95,-0.032767445,1.3853467,,,,,,,,,,,,,,,,,
2488637882483762560,36.168816540190015,-5.645706888664511,20.582336,31,0.12011987,1.1568633,,,,,,,,,,,,,,,,,
2488641249738117120,36.0465771802894,-5.6661200379283185,17.140923,31,-0.026317405,1.2116948,,,,,,,,,,,,,,,,,
2488642005652475776,36.099350670101124,-5.595423098347035,19.78518,95,2.2772927,1.4150449,,,,,,,,,,,,,,,,,
2488642314890017408,35.99631790156807,-5.62731930954734,19.816608,95,-1.2985374,1.3997927,,,,,,,,,,,,,,,,,
2488643208243232512,36.009800802295125,-5.566788409253368,19.723934,95,1.9163266,1.5513445,,,,,,,,,,,,,,,,,
2488643380042013568,36.04368815051196,-5.539846339868342,19.499622,95,2.6545296,1.4286321,,,,,,,,,,,,,,,,,
2488644823150872320,35.63097865560881,-5.7550498446756775,20.560081,95,-0.009379613,1.0130699,,,,,,,,,,,,,,,,,
2488648568362383360,35.648348636358925,-5.683971398048293,20.71029,95,0.16400723,1.6237575,,,,,,,,,,,,,,,,,
2488650664306542976,35.7300744109265,-5.613568331923049,20.275093,95,-1.581591,1.7345117,,,,,,,,,,,,,,,,,
2488650870464877568,35.717509896313075,-5.607888531977319,19.642927,95,1.5348612,1.2879056,,,,,,,,,,,,,,,,,
2488650939187607168,35.70718661438206,-5.60238593543505,20.703556,95,2.0923016,1.7051798,,,,,,,,,,,,,,,,,
2488651317141479168,35.649667877353686,-5.60466001933607,18.532648,31,-0.6752394,1.1522402,,,,,,,,,,,,,,,,,
2488653069487890816,35.89450833594121,-5.605037639990618,13.113442,31,0.34877324,1.1964797,,,,,,,,,,,,,,,,,
2488656161864687360,35.94643418335966,-5.506526269546965,20.012054,95,0.6133022,1.6289085,,,,,,,,,,,,,,,,,
2488657231311662976,35.80673916417504,-5.550120492837172,16.981781,31,-1.7501788,1.2390902,,,,,,,,,,,,,,,,,
2488658708780411776,35.791051483973135,-5.47196310056998,19.743277,31,-1.3790438,1.2269747,,,,,,,,,,,,,,,,,
2488659052377795072,35.88200686032369,-5.473850518462071,16.650558,31,-0.2145049,1.4134406,,,,,,,,,,,,,,,,,
2488659185521665152,35.8370040967395,-5.478209882791678,19.8587,95,-0.8824166,1.4474812,,,,,,,,,,,,,,,,,
2488660319392958592,35.82021861372083,-5.448851326736476,19.898958,31,0.7594525,1.1115371,19.895226,19.89895,0.07417345,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2488661526278999552,36.567522870505215,-5.910516624431666,12.734013,31,0.28745553,1.1925813,,,,,,,,,,,,,,,,,
2488664202043022848,36.70514005816743,-5.818225850244997,19.00538,31,0.51131344,1.214097,,,,,,,,,,,,,,,,,
2488666474081322368,36.52604906969807,-5.800847134254035,19.08861,31,0.046759155,1.213756,,,,,,,,,,,,,,,,,
2488666504145603200,36.425122173397604,-5.855593148078284,19.135931,31,-1.0496689,1.2991071,,,,,,,,,,,,,,,,,
2488666577160551168,36.409933064385235,-5.847237988540348,13.210797,31,-0.21472947,1.1865481,13.210386,13.211903,0.005226137,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2488668466946145536,36.59880494326242,-5.750409734696623,18.305523,31,-0.40635958,1.3313929,,,,,,,,,,,,,,,,,
2488671520667301120,36.719642052656766,-5.737298936437636,17.396027,31,-0.78526413,1.2059361,,,,,,,,,,,,,,,,,
2488673204294486272,36.78531823102048,-5.6865179199427685,20.715164,31,-0.17468254,1.0711416,,,,,,,,,,,,,,,,,
2488675064015927680,36.67947172608831,-5.679542030539643,15.420629,31,1.6930839,1.2015204,,,,,,,,,,,,,,,,,
2488675197159373952,36.713629756198976,-5.6627272877333015,19.38618,95,0.1484238,1.3719399,,,,,,,,,,,,,,,,,
2488676610204134528,36.74641737844717,-5.640346299263084,16.88569,31,0.67387307,1.2883719,,,,,,,,,,,,,,,,,
2488677091240470912,36.80305300681063,-5.61644483748332,15.844047,31,1.3926554,1.2350062,,,,,,,,,,,,,,,,,
2488679496422141824,36.39864360676955,-5.762550374762811,15.954118,31,0.053715684,1.2553573,,,,,,,,,,,,,,,,,
2488682825021370112,36.445244490911215,-5.632355123324204,19.784628,31,-1.0246407,1.2180415,,,,,,,,,,,,,,,,,
2488683443496646144,36.312938559799946,-5.693339046288237,20.596533,31,0.59008986,1.180796,,,,,,,,,,,,,,,,,
2488684233770404992,36.27455347719954,-5.685560754842744,19.730053,31,-0.98070663,1.327054,,,,,,,,,,,,,,,,,
2488686810751036288,36.34655414372935,-5.570289305206341,18.420088,95,-1.0010748,1.4731566,,,,,,,,,,,,,,,,,
2488690521604707712,36.67582742369602,-5.516994379762774,20.590961,95,2.6020563,1.5382893,,,,,,,,,,,,,,,,,
2488690663337125120,36.70241640980293,-5.501604001632156,15.826524,31,0.6348381,1.287802,,,,,,,,,,,,,,,,,
2488691213092939392,36.60412857442277,-5.502421722727939,14.526325,31,-0.3363843,1.2118375,,,,,,,,,,,,,,,,,
