source_id,ra,dec,phot_g_mean_mag,plx,e_plx,astrometric_params_solved,astrometric_gof_al,phot_bp_rp_excess_factor,mean_mag_g_fov,median_mag_g_fov,std_dev_mag_g_fov,in_vari_long_period_variable,in_vari_eclipsing_binary,in_vari_classification_result,in_vari_rrlyrae,in_vari_cepheid,in_vari_planetary_transit,in_vari_short_timescale,in_vari_long_period_variable2,in_vari_eclipsing_binary2,in_vari_rotation_modulation,in_vari_ms_oscillator,in_vari_agn,in_vari_microlensing,in_vari_compact_companion,DDF,STABLE
3834449602464472192,150.02081493791522,1.2206229053873503,14.357439,2.0153317294261903,0.026115665,31,0.55694896,1.2204887,,,,,,,,,,,,,,,,,,COSMOS,True
3834454408532803200,149.941902998638,1.3292708182439326,18.169348,1.6997657554647685,0.18619105,31,-0.80280757,1.3600668,,,,,,,,,,,,,,,,,,COSMOS,True
3834493853512230400,149.48276718424293,1.389368825296653,12.247764,21.169988668011005,0.018703487,31,4.8828373,1.352236,12.247969,12.245295,0.006170935,False,False,True,False,False,False,False,False,False,False,False,False,False,False,COSMOS,False
3834514473650453248,149.98393540384404,1.5532712600447485,14.645137,1.597619809174128,0.02747773,31,2.5126545,1.2158548,,,,,,,,,,,,,,,,,,COSMOS,True
3834514606794690048,150.00737282700916,1.5673768199379494,17.144897,1.387545774215421,0.10386072,31,1.6943825,1.2791464,,,,,,,,,,,,,,,,,,COSMOS,True
3834516359141102720,149.55957061495394,1.380367829923642,16.532677,3.6975696424016182,0.069066405,31,0.8984101,1.3685887,,,,,,,,,,,,,,,,,,COSMOS,True
3834518042768319616,149.56349033707073,1.4633891815869036,18.622202,2.183717783362088,0.2642812,95,1.6271465,1.4054313,,,,,,,,,,,,,,,,,,COSMOS,True
3834519284013835136,149.7190197783004,1.514167326018898,17.362589,2.7880026028833913,0.09428112,31,0.6246433,1.4334725,,,,,,,,,,,,,,,,,,COSMOS,True
3834519623316292736,149.62175100013633,1.4856573035585023,18.74351,2.0321765489755097,0.23031867,31,-0.9645626,1.4103688,,,,,,,,,,,,,,,,,,COSMOS,True
3834519863834465664,149.68116496417863,1.4999225617988488,18.615355,1.6901038936919266,0.20363839,95,-1.9039477,1.3247564,,,,,,,,,,,,,,,,,,COSMOS,True
3834521375662954240,149.54121262276576,1.5012549704142637,17.45422,1.6059903914926443,0.11898444,31,0.25951988,1.2908845,,,,,,,,,,,,,,,,,,COSMOS,True
3834522612613533696,149.58833932932217,1.4949631602117368,15.524513,1.3894852334978,0.04077995,31,1.9237447,1.2315892,,,,,,,,,,,,,,,,,,COSMOS,True
3834674448297340416,149.06363383443795,1.2245133334210951,19.585932,3.6371841115081662,0.44659328,31,-0.3569711,1.6010121,,,,,,,,,,,,,,,,,,COSMOS,True
3834676097564701312,149.05641436737517,1.2950971580770976,17.624353,2.383228744887503,0.10692971,31,0.6539294,1.4051683,,,,,,,,,,,,,,,,,,COSMOS,True
3834682282317635840,149.04948476415257,1.4271303319453712,18.186,2.979261426441063,0.18794002,95,-1.0281361,1.4011045,,,,,,,,,,,,,,,,,,COSMOS,True
3834685963104631168,149.3533286020727,1.4748774831698142,15.361021,0.5697180978976146,0.033045605,31,0.80997753,1.192262,,,,,,,,,,,,,,,,,,COSMOS,True
